"yr","region","codsp","codgr","fl","source"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",55,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",56,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",57,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",58,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",59,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
