"year","species","catch","type"
1969,"BRS",1625.9856,"ICCAT"
1969,"DOL",0,"ICCAT"
1969,"FRI",0,"ICCAT"
1969,"KGM",1374,"ICCAT"
1969,"LTA",0,"ICCAT"
1969,"WAH",0,"ICCAT"
1970,"BLF",52,"ICCAT"
1970,"BLT",0,"ICCAT"
1970,"BON",0,"ICCAT"
1970,"BRS",1868,"ICCAT"
1970,"DOL",0,"ICCAT"
1970,"FRI",0,"ICCAT"
1970,"KGM",1532,"ICCAT"
1970,"LTA",0,"ICCAT"
1970,"WAH",0,"ICCAT"
1971,"BLF",75,"ICCAT"
1971,"BLT",0,"ICCAT"
1971,"BON",0,"ICCAT"
1971,"BRS",1154,"ICCAT"
1971,"DOL",0,"ICCAT"
1971,"FRI",0,"ICCAT"
1971,"KGM",946,"ICCAT"
1971,"LTA",0,"ICCAT"
1971,"WAH",3,"ICCAT"
1972,"BLF",295,"ICCAT"
1972,"BLT",0,"ICCAT"
1972,"BON",0,"ICCAT"
1972,"BRS",2810,"ICCAT"
1972,"DOL",0,"ICCAT"
1972,"FRI",0,"ICCAT"
1972,"KGM",2532,"ICCAT"
1972,"LTA",0,"ICCAT"
1972,"WAH",3,"ICCAT"
1973,"BLF",296,"ICCAT"
1973,"BLT",0,"ICCAT"
1973,"BON",0,"ICCAT"
1973,"BRS",4446,"ICCAT"
1973,"DOL",0,"ICCAT"
1973,"FRI",0,"ICCAT"
1973,"KGM",3318,"ICCAT"
1973,"LTA",0,"ICCAT"
1973,"WAH",2,"ICCAT"
1974,"BLF",194,"ICCAT"
1974,"BLT",0,"ICCAT"
1974,"BON",0,"ICCAT"
1974,"BRS",6291,"ICCAT"
1974,"DOL",0,"ICCAT"
1974,"FRI",0,"ICCAT"
1974,"KGM",5162,"ICCAT"
1974,"LTA",0,"ICCAT"
1974,"WAH",3,"ICCAT"
1975,"BLF",123,"ICCAT"
1975,"BLT",0,"ICCAT"
1975,"BON",0,"ICCAT"
1975,"BRS",2664,"ICCAT"
1975,"DOL",0,"ICCAT"
1975,"FRI",0,"ICCAT"
1975,"KGM",2185,"ICCAT"
1975,"LTA",0,"ICCAT"
1975,"WAH",3,"ICCAT"
1976,"BLF",56,"ICCAT"
1976,"BLT",0,"ICCAT"
1976,"BON",0,"ICCAT"
1976,"BRS",283,"ICCAT"
1976,"DOL",0,"ICCAT"
1976,"FRI",0,"ICCAT"
1976,"KGM",546,"ICCAT"
1976,"LTA",0,"ICCAT"
1976,"WAH",9,"ICCAT"
1977,"BLF",273,"ICCAT"
1977,"BLT",0,"ICCAT"
1977,"BON",0,"ICCAT"
1977,"BRS",986,"ICCAT"
1977,"DOL",0,"ICCAT"
1977,"FRI",0,"ICCAT"
1977,"KGM",790,"ICCAT"
1977,"LTA",0,"ICCAT"
1977,"WAH",3,"ICCAT"
1978,"BLF",195,"ICCAT"
1978,"BLT",0,"ICCAT"
1978,"BON",0,"ICCAT"
1978,"BRS",1522,"ICCAT"
1978,"DOL",0,"ICCAT"
1978,"FRI",0,"ICCAT"
1978,"KGM",845,"ICCAT"
1978,"LTA",0,"ICCAT"
1978,"WAH",6,"ICCAT"
1979,"BLF",173,"ICCAT"
1979,"BLT",0,"ICCAT"
1979,"BON",0,"ICCAT"
1979,"BRS",1191,"ICCAT"
1979,"DOL",0,"ICCAT"
1979,"FRI",0,"ICCAT"
1979,"KGM",848,"ICCAT"
1979,"LTA",0,"ICCAT"
1979,"WAH",69,"ICCAT"
1980,"BLF",181,"ICCAT"
1980,"BLT",0,"ICCAT"
1980,"BON",0,"ICCAT"
1980,"BRS",2826,"ICCAT"
1980,"DOL",0,"ICCAT"
1980,"FRI",0,"ICCAT"
1980,"KGM",1598,"ICCAT"
1980,"LTA",0,"ICCAT"
1980,"WAH",1,"ICCAT"
1981,"BLF",85,"ICCAT"
1981,"BLT",0,"ICCAT"
1981,"BON",0,"ICCAT"
1981,"BRS",3466,"ICCAT"
1981,"DOL",0,"ICCAT"
1981,"FRI",0,"ICCAT"
1981,"KGM",1612,"ICCAT"
1981,"LTA",45,"ICCAT"
1981,"WAH",1,"ICCAT"
1982,"BLF",89.1,"ICCAT"
1982,"BLT",0,"ICCAT"
1982,"BON",0,"ICCAT"
1982,"BRS",4342,"ICCAT"
1982,"DOL",0,"ICCAT"
1982,"FRI",72,"ICCAT"
1982,"KGM",1929,"ICCAT"
1982,"LTA",10,"ICCAT"
1982,"WAH",0.4,"ICCAT"
1983,"BLF",57,"ICCAT"
